reviewAction,inducteeId,inducteeName,classYear,phraseLabel,phraseQuality,confidence,evidenceCount,sourcePageUrls,existingCountryTags,inferredCountryTags,safeguardStatus,migrationDirection,publicUse
exploratory-place-phrase-review,atul-mehta-2018,Atul Mehta,2018,Dr. Atul Mehta,fragment-or-nonplace-likely,0.38,1,https://clevelandinternationalhalloffame.com/inductees-asia/atul-mehta/,India,India,needs-geography-review,not-inferred,candidate-only
exploratory-place-phrase-review,ralph-perk-jr-2018,Ralph Perk Jr.,2018,Rocky Perk,needs-heavy-place-review,0.38,1,https://clevelandinternationalhalloffame.com/inductees-europe/ralph-perk-jr/,Czech Republic|Italy,Czech Republic|Italy,needs-geography-review,not-inferred,candidate-only
exploratory-place-phrase-review,sheila-murphy-crawford-2018,Sheila Murphy Crawford,2018,Cleveland in,fragment-or-nonplace-likely,0.38,1,https://clevelandinternationalhalloffame.com/inductees-europe/sheila-murphy-crawford/,Ireland,,needs-geography-review,not-inferred,candidate-only
exploratory-place-phrase-review,sheila-murphy-crawford-2018,Sheila Murphy Crawford,2018,Sheila Murphy Crawford,needs-heavy-place-review,0.38,1,https://clevelandinternationalhalloffame.com/inductees-europe/sheila-murphy-crawford/,Ireland,,needs-geography-review,not-inferred,candidate-only
exploratory-place-phrase-review,sister-alicia-alvarado-2018,Sister Alicia Alvarado,2018,Villalba,needs-heavy-place-review,0.38,1,https://clevelandinternationalhalloffame.com/inductees-south-america/sister-alicia-alvarado/,Puerto Rico,,needs-geography-review,not-inferred,candidate-only
exploratory-place-phrase-review,sister-alicia-alvarado-2018,Sister Alicia Alvarado,2018,San Juan Bautista Parish,needs-heavy-place-review,0.38,1,https://clevelandinternationalhalloffame.com/inductees-south-america/sister-alicia-alvarado/,Puerto Rico,,needs-geography-review,not-inferred,candidate-only
exploratory-place-phrase-review,sister-alicia-alvarado-2018,Sister Alicia Alvarado,2018,Sister Alicia Alvarado,needs-heavy-place-review,0.38,1,https://clevelandinternationalhalloffame.com/inductees-south-america/sister-alicia-alvarado/,Puerto Rico,,needs-geography-review,not-inferred,candidate-only
exploratory-place-phrase-review,akram-boutros-2019,Akram Boutros,2019,Cleveland Watching Dr. Boutros,fragment-or-nonplace-likely,0.38,1,https://clevelandinternationalhalloffame.com/akram-boutros/,Egypt,Egypt,needs-geography-review,not-inferred,candidate-only
exploratory-place-phrase-review,paul-burik-2019,Paul Burik,2019,Czechoslovakia in,fragment-or-nonplace-likely,0.38,1,https://clevelandinternationalhalloffame.com/paul-burik/,Czech Republic,,needs-geography-review,not-inferred,candidate-only
exploratory-place-phrase-review,richard-fleischman-2019,Richard Fleischman,2019,Cleveland in,fragment-or-nonplace-likely,0.38,1,https://clevelandinternationalhalloffame.com/richard-fleischman/,United States,United States,needs-geography-review,not-inferred,candidate-only
exploratory-place-phrase-review,joe-valencic-2020,Joe Valencic,2020,Slovenia. His events create,fragment-or-nonplace-likely,0.38,1,https://clevelandinternationalhalloffame.com/joe-valencic/,Slovenia,,needs-geography-review,not-inferred,candidate-only
exploratory-place-phrase-review,joe-valencic-2020,Joe Valencic,2020,Slovenia at,needs-heavy-place-review,0.38,1,https://clevelandinternationalhalloffame.com/joe-valencic/,Slovenia,,needs-geography-review,not-inferred,candidate-only
exploratory-place-phrase-review,may-chen-2020,May Chen,2020,Hong Kong,needs-heavy-place-review,0.38,1,https://clevelandinternationalhalloffame.com/may-chen/,China,,needs-geography-review,not-inferred,candidate-only
exploratory-place-phrase-review,may-chen-2020,May Chen,2020,Seattle,needs-heavy-place-review,0.38,1,https://clevelandinternationalhalloffame.com/may-chen/,China,,needs-geography-review,not-inferred,candidate-only
exploratory-place-phrase-review,may-chen-2020,May Chen,2020,Margaret Wong May Chen,needs-heavy-place-review,0.38,1,https://clevelandinternationalhalloffame.com/may-chen/,China,,needs-geography-review,not-inferred,candidate-only
exploratory-place-phrase-review,ramesh-shah-2020,Ramesh Shah,2020,Sudarshan Sathe Ramesh Shah,needs-heavy-place-review,0.38,1,https://clevelandinternationalhalloffame.com/ramesh-shah/,India,,needs-geography-review,not-inferred,candidate-only
exploratory-place-phrase-review,anda-cook-2022,Anda Cook,2022,Riga,needs-heavy-place-review,0.38,1,https://clevelandinternationalhalloffame.com/anda-cook/,Latvia,Latvia,needs-geography-review,not-inferred,candidate-only
exploratory-place-phrase-review,anda-cook-2022,Anda Cook,2022,Congressman Dennis Kucinich,needs-heavy-place-review,0.38,1,https://clevelandinternationalhalloffame.com/anda-cook/,Latvia,Latvia,needs-geography-review,not-inferred,candidate-only
exploratory-place-phrase-review,anda-cook-2022,Anda Cook,2022,Dagmar Celeste Anda Cook,needs-heavy-place-review,0.38,1,https://clevelandinternationalhalloffame.com/anda-cook/,Latvia,Latvia,needs-geography-review,not-inferred,candidate-only
exploratory-place-phrase-review,carl-robson-2022,Carl Robson,2022,Hinsdale,needs-heavy-place-review,0.38,1,https://clevelandinternationalhalloffame.com/carl-robson/,Ethiopia,Ethiopia,needs-geography-review,not-inferred,candidate-only
exploratory-place-phrase-review,victor-ruiz-2022,Victor Ruiz,2022,Dan Hanson Congratulations Victor,needs-heavy-place-review,0.38,1,https://clevelandinternationalhalloffame.com/victor-ruiz/,Puerto Rico,,needs-geography-review,not-inferred,candidate-only
exploratory-place-phrase-review,georgine-welo-2023,Georgine Welo,2023,Novi Sad,needs-heavy-place-review,0.38,1,https://clevelandinternationalhalloffame.com/georgine-welo/,Serbia,,needs-geography-review,not-inferred,candidate-only
exploratory-place-phrase-review,georgine-welo-2023,Georgine Welo,2023,Switzerland. However,needs-heavy-place-review,0.38,1,https://clevelandinternationalhalloffame.com/georgine-welo/,Serbia,,needs-geography-review,not-inferred,candidate-only
exploratory-place-phrase-review,georgine-welo-2023,Georgine Welo,2023,Kralijevo she traveled by,fragment-or-nonplace-likely,0.38,1,https://clevelandinternationalhalloffame.com/georgine-welo/,Serbia,,needs-geography-review,not-inferred,candidate-only
