reviewPriority,inducteeId,inducteeName,classYear,region,sourceProfileCount,primarySourceProfileUrl,profileAliasCount,newImageReviewCount,newProfileVideoReviewCount,newContextVideoReviewCount,relationshipReviewCount,placeReviewCount,organizationReviewCount,primaryStoryLeadCount,manualFlags,nextBestAction
standard,dick-russ-2015,Dick Russ,2015,Europe,1,https://clevelandinternationalhalloffame.com/dick-russ-2015/,0,0,0,4,29,0,11,3,video-context-review|relationship-review|organization-review|summary-approval-needed,Review relationship evidence and labels.
standard,richard-a-ganim-2015,Richard A. Ganim,2015,Asia,1,https://clevelandinternationalhalloffame.com/richard-ganim-2015/,0,0,0,0,5,1,4,3,relationship-review|geography-review|organization-review|summary-approval-needed,Review relationship evidence and labels.
standard,shiv-k-aggarwal-2015,Shiv K. Aggarwal,2015,Asia,1,https://clevelandinternationalhalloffame.com/shiv-k-aggarwal-2015/,0,0,0,0,6,1,4,3,relationship-review|geography-review|organization-review|summary-approval-needed,Review relationship evidence and labels.
standard,steve-mulloy-2015,Steve Mulloy,2015,Europe,1,https://clevelandinternationalhalloffame.com/steve-mulloy-2015/,0,0,0,2,7,0,4,3,video-context-review|relationship-review|organization-review|summary-approval-needed,Review relationship evidence and labels.
standard,donna-hom-2014,Donna Hom,2014,Asia,1,https://clevelandinternationalhalloffame.com/donna-hom-2014/,0,0,0,2,8,0,0,3,video-context-review|relationship-review|summary-approval-needed,Review relationship evidence and labels.
standard,eugene-bak-2014,Eugene Bak,2014,Europe,1,https://clevelandinternationalhalloffame.com/eugene-bak-2014/,0,0,0,0,8,0,6,3,relationship-review|organization-review|summary-approval-needed,Review relationship evidence and labels.
standard,jim-foster-2014,Jim Foster,2014,Europe,1,https://clevelandinternationalhalloffame.com/jim-foster-2014/,0,0,0,0,8,0,1,3,relationship-review|organization-review|summary-approval-needed,Review relationship evidence and labels.
standard,joseph-p-meissner-2014,Joseph P Meissner,2014,Europe,1,https://clevelandinternationalhalloffame.com/joseph-p-meissner-2014/,0,0,0,0,0,0,13,3,organization-review|summary-approval-needed,Review organization mentions.
standard,margaret-callander-2014,Margaret Callander,2014,Europe,1,https://clevelandinternationalhalloffame.com/margaret-callander-2014/,0,0,0,2,8,0,9,3,video-context-review|relationship-review|organization-review|summary-approval-needed,Review relationship evidence and labels.
standard,monte-ahuja-2014,Monte Ahuja,2014,Asia,1,https://clevelandinternationalhalloffame.com/monte-ahuja-2014/,0,0,0,0,8,0,9,2,relationship-review|organization-review|summary-approval-needed,Review relationship evidence and labels.
standard,thomas-j-scanlon-2014,Thomas J. Scanlon,2014,Europe,1,https://clevelandinternationalhalloffame.com/thomas-j-scanlon-2014/,0,0,0,0,8,0,11,3,relationship-review|organization-review|summary-approval-needed,Review relationship evidence and labels.
standard,bishop-a-edward-pevec-2013,Bishop A. Edward Pevec,2013,Europe,1,https://clevelandinternationalhalloffame.com/bishop-a-edward-pevec-2013/,0,0,0,2,1,1,7,3,video-context-review|relationship-review|geography-review|organization-review|summary-approval-needed,Review relationship evidence and labels.
standard,jack-coyne-2013,Jack Coyne,2013,Europe,1,https://clevelandinternationalhalloffame.com/john-jack-coyne-2013/,0,0,0,0,0,1,9,3,geography-review|organization-review|summary-approval-needed,Review place evidence with geography safeguards.
standard,josef-holzer-2013,Josef Holzer,2013,Europe,1,https://clevelandinternationalhalloffame.com/joseph-holzer-2013/,0,0,0,0,0,0,3,3,organization-review|summary-approval-needed,Review organization mentions.
standard,nacy-panzica-2013,Nacy Panzica,2013,Europe,1,https://clevelandinternationalhalloffame.com/nacy-panzica-2013/,0,0,0,4,2,0,2,1,video-context-review|relationship-review|organization-review|summary-approval-needed,Review relationship evidence and labels.
standard,ratanjit-s-sondhe-2013,Ratanjit S. Sondhe,2013,Asia,1,https://clevelandinternationalhalloffame.com/ratanjit-sondhe-2013/,0,0,0,0,0,0,3,3,organization-review|summary-approval-needed,Review organization mentions.
