inducteeId,inducteeName,classYear,roleCandidate,confidence,sourceUrl,sourcePageUrl,width,height,altText,needsRightsReview
arnie-de-la-porte-2016-2016,Arnie de la Porte – 2016,2016,portrait-or-person-specific,0.84,https://www.clevelandpeople.com/images/hof/hof-2016/event/peter-de-la-porte-1.jpg,https://clevelandinternationalhalloffame.com/arnie-de-la-porte-2016/,500,411,Peter de la Porte accepting for his father Arnie,true
arnie-de-la-porte-2016-2016,Arnie de la Porte – 2016,2016,portrait-or-person-specific,0.84,https://www.clevelandpeople.com/images/hof/hof-2016/event/peter-de-la-porte.jpg,https://clevelandinternationalhalloffame.com/arnie-de-la-porte-2016/,500,417,Peter de la Porte accepting for his father Arnie,true
arnie-de-la-porte-2016-2016,Arnie de la Porte – 2016,2016,portrait-or-person-specific,0.84,https://clevelandinternationalhalloffame.com/wp-content/uploads/2016/10/peter-de-la-porte.jpg,https://clevelandinternationalhalloffame.com/arnie-de-la-porte-2016/,500,388,Peter de la Porte accepts the honor for his father Arnie,true
arnie-de-la-porte-2016-2016,Arnie de la Porte – 2016,2016,portrait-or-person-specific,0.84,https://clevelandinternationalhalloffame.com/wp-content/uploads/2016/10/arnie-delaporte-1500.jpg,https://clevelandinternationalhalloffame.com/arnie-de-la-porte-2016/,1500,2118,Arnie de la Porte,true
atul-mehta-2018,Atul Mehta,2018,portrait-or-person-specific,0.84,https://clevelandinternationalhalloffame.com/wp-content/uploads/2018/03/mehta-atul-500-240x300.jpg,https://clevelandinternationalhalloffame.com/inductees-asia/atul-mehta/,500,625,"Dr. Atul C. Mehta, M.D",true
atul-mehta-2018,Atul Mehta,2018,portrait-or-person-specific,0.84,https://www.clevelandpeople.com/images/hof/hof-2018/cihf-c-ahtul-mehta-rick-buoncore-2.jpg,https://clevelandinternationalhalloffame.com/inductees-asia/atul-mehta/,500,383,Richard J. Buoncore and Dr. Atul Mehta,true
atul-mehta-2018,Atul Mehta,2018,portrait-or-person-specific,0.84,https://www.clevelandpeople.com/images/hof/hof-2018/cihf-c-rick-buoncore-ahtul-mehta.jpg,https://clevelandinternationalhalloffame.com/inductees-asia/atul-mehta/,500,437,Richard J. Buoncore and Dr. Atul Mehta,true
atul-mehta-2018,Atul Mehta,2018,portrait-or-person-specific,0.84,https://www.clevelandpeople.com/images/hof/hof-2018/cihf-c-ahtul-mehta-3.jpg,https://clevelandinternationalhalloffame.com/inductees-asia/atul-mehta/,500,451,Dr. Atul C. Mehta gave his acceptance remarks,true
atul-mehta-2018,Atul Mehta,2018,portrait-or-person-specific,0.84,https://www.clevelandpeople.com/images/hof/hof-2018/cihf-c-ahtul-mehta-5.jpg,https://clevelandinternationalhalloffame.com/inductees-asia/atul-mehta/,500,409,Dr. Atul C. Mehta giving his acceptance remarks,true
atul-mehta-2018,Atul Mehta,2018,portrait-or-person-specific,0.84,https://www.clevelandpeople.com/images/hof/hof-2018/cihf-c-ahtul-mehta.jpg,https://clevelandinternationalhalloffame.com/inductees-asia/atul-mehta/,500,499,Dr. Atul C. Mehta giving his acceptance remarks,true
atul-mehta-2018,Atul Mehta,2018,portrait-or-person-specific,0.84,https://www.clevelandpeople.com/images/hof/hof-2018/cihf-c-ahtul-mehta-rick-buoncore.jpg,https://clevelandinternationalhalloffame.com/inductees-asia/atul-mehta/,500,551,Richard J. Buoncore and Dr. Atul Mehta,true
atul-mehta-2018,Atul Mehta,2018,portrait-or-person-specific,0.84,https://www.clevelandpeople.com/images/hof/hof-2018/cihf-c-chris-mehta.jpg,https://clevelandinternationalhalloffame.com/inductees-asia/atul-mehta/,500,331,Chris Tanaka and Dr. Atul Mehta,true
atul-mehta-2018,Atul Mehta,2018,portrait-or-person-specific,0.84,https://www.clevelandpeople.com/images/hof/hof-2018/cihf-cp-anjan-ahtul-mehta.jpg,https://clevelandinternationalhalloffame.com/inductees-asia/atul-mehta/,500,604,Dr. Atul Mehta,true
atul-mehta-2018,Atul Mehta,2018,portrait-or-person-specific,0.84,https://www.clevelandpeople.com/images/hof/hof-2018/cihf-cp-anjan-22.jpg,https://clevelandinternationalhalloffame.com/inductees-asia/atul-mehta/,500,348,Dr. Atul Mehta with supporters,true
atul-mehta-2018,Atul Mehta,2018,portrait-or-person-specific,0.84,https://www.clevelandpeople.com/images/hof/hof-2018/cihf-cp-anjan-ghose-ahtul-mehta.jpg,https://clevelandinternationalhalloffame.com/inductees-asia/atul-mehta/,500,398,Anjan Ghose with Dr. Atul Mehta,true
atul-mehta-2018,Atul Mehta,2018,portrait-or-person-specific,0.84,https://www.clevelandpeople.com/images/hof/hof-2018/cihf-cp-mona-alag-ahtul-mehta.jpg,https://clevelandinternationalhalloffame.com/inductees-asia/atul-mehta/,500,375,Mona Alag and Dr. Atul Mehta,true
atul-mehta-2018,Atul Mehta,2018,portrait-or-person-specific,0.84,https://www.clevelandpeople.com/images/hof/hof-2018/cihf-cp-ed-5.jpg,https://clevelandinternationalhalloffame.com/inductees-asia/atul-mehta/,500,369,Friends and family of Dr. Atul Mehta,true
atul-mehta-2018,Atul Mehta,2018,portrait-or-person-specific,0.84,https://www.clevelandpeople.com/images/hof/hof-2018/cihf-cp-kovach-mehta-asim.jpg,https://clevelandinternationalhalloffame.com/inductees-asia/atul-mehta/,500,385,"Ken Kovach, Dr. Atul Mehta and Asim Datta",true
atul-mehta-2018,Atul Mehta,2018,portrait-or-person-specific,0.84,https://clevelandinternationalhalloffame.com/wp-content/uploads/2018/06/cihf-cp-anjan-ghose-ahtul-mehta.jpg,https://clevelandinternationalhalloffame.com/inductees-asia/atul-mehta/,500,398,Anjan Ghose and Dr. Atul Mehta at the Cleveland International Hall of Fame,true
